cell,K,n,m,rep,method,time,geom,delta,F,Fref,ref_exact,hit,gap,agree_ref,acc0,ari0,R_tm
K3-cross,3,300,12,82,local-vote+pol,0.1166051609907299,cross,9.0,258.0418208733518,258.0418208733518,False,True,0.0,1.0,0.8566666666666667,0.6305955882754393,500.0
K3-cross,3,300,12,82,ms-vote+pol,0.2044061219785362,cross,9.0,258.0418208733518,258.0418208733518,False,True,0.0,1.0,0.8566666666666667,0.6305955882754393,500.0
K3-cross,3,300,12,82,HA10,0.0028821800369769,cross,9.0,258.0418208733518,258.0418208733518,False,True,0.0,1.0,0.8566666666666667,0.6305955882754393,500.0
K3-cross,3,300,12,82,HA10-part,0.0016038639005273,cross,9.0,258.0418208733518,258.0418208733518,False,True,0.0,1.0,0.8566666666666667,0.6305955882754393,500.0
K3-cross,3,300,12,82,HA-tm,0.2195781341288238,cross,9.0,258.0418208733518,258.0418208733518,False,True,0.0,1.0,0.8566666666666667,0.6305955882754393,500.0
K3-cross,3,300,12,82,emEM10,0.0088397630024701,cross,9.0,259.1008643642516,258.0418208733518,False,False,0.0041041544634718,0.97,0.8633333333333333,0.6424846818775165,500.0
K3-cross,3,300,12,143,vote,0.2362540550529956,cross,9.0,236.15533918946613,228.8789497217269,False,False,0.0317914315693335,0.9366666666666666,0.8833333333333333,0.679524922888551,510.0
K3-cross,3,300,12,143,vote+pol,0.2365514589473605,cross,9.0,228.88389939125452,228.8789497217269,False,False,2.162570884567394e-05,0.99,0.8933333333333333,0.7056936166327421,510.0
K3-cross,3,300,12,143,param+pol,0.2105707509908825,cross,9.0,228.8789497217269,228.8789497217269,False,True,0.0,1.0,0.8966666666666666,0.7132142074091368,510.0
K3-cross,3,300,12,143,bestB,0.2035332189407199,cross,9.0,237.16594663895228,228.8789497217269,False,False,0.0362068985693124,0.94,0.8966666666666666,0.7095590412830037,510.0
K3-cross,3,300,12,143,bestB+pol,0.203798112925142,cross,9.0,228.8789497217269,228.8789497217269,False,True,0.0,1.0,0.8966666666666666,0.7132142074091368,510.0
K3-cross,3,300,12,143,local-vote+pol,0.1253969268873334,cross,9.0,418.8652666250277,228.8789497217269,False,False,0.8300733515873253,0.6266666666666667,0.6233333333333333,0.279797897229083,510.0
K3-cross,3,300,12,143,ms-vote+pol,0.2232753389980644,cross,9.0,228.8789497217269,228.8789497217269,False,True,0.0,1.0,0.8966666666666666,0.7132142074091368,510.0
K3-cross,3,300,12,143,HA10,0.0029000248759984,cross,9.0,228.8789497217269,228.8789497217269,False,True,0.0,1.0,0.8966666666666666,0.7132142074091368,510.0
K3-cross,3,300,12,143,HA10-part,0.0014546781312674,cross,9.0,228.88389939125452,228.8789497217269,False,False,2.162570884567394e-05,0.99,0.8933333333333333,0.7056936166327421,510.0
K3-cross,3,300,12,143,HA-tm,0.2368890638463199,cross,9.0,228.8789497217269,228.8789497217269,False,True,0.0,1.0,0.8966666666666666,0.7132142074091368,510.0
K3-cross,3,300,12,143,emEM10,0.0086912221740931,cross,9.0,230.3158659665009,228.8789497217269,False,False,0.0062780620346298,0.96,0.91,0.7447121738146408,510.0
K3-par,3,300,12,2,vote,0.1890815880615264,par,3.0,289.82526042255665,227.964175677497,False,False,0.2713631848566202,0.8866666666666667,0.8833333333333333,0.6761246004446397,360.0
K3-par,3,300,12,2,vote+pol,0.189422840019688,par,3.0,227.964175677497,227.964175677497,False,True,0.0,1.0,0.9233333333333332,0.7789557472720643,360.0
K3-par,3,300,12,2,param+pol,0.2123920551966875,par,3.0,227.964175677497,227.964175677497,False,True,0.0,1.0,0.9233333333333332,0.7789557472720643,360.0
K3-par,3,300,12,2,bestB,0.1898723368067294,par,3.0,229.21647580029372,227.964175677497,False,False,0.0054934075456154,0.9866666666666668,0.91,0.7447187677107252,360.0
K3-par,3,300,12,2,bestB+pol,0.190105095738545,par,3.0,228.00997612356204,227.964175677497,False,False,0.0002009107173481,0.9966666666666668,0.92,0.770453320265065,360.0
K3-par,3,300,12,2,local-vote+pol,0.1263933330774307,par,3.0,228.17319175391196,227.964175677497,False,False,0.0009168812415099,0.99,0.92,0.7706699956627299,360.0
K3-par,3,300,12,2,ms-vote+pol,0.2436934169381857,par,3.0,228.17319175391196,227.964175677497,False,False,0.0009168812415099,0.99,0.92,0.7706699956627299,360.0
K3-par,3,300,12,2,HA10,0.0034994061570614,par,3.0,230.1669983990261,227.964175677497,False,False,0.0096630214593256,0.9733333333333334,0.91,0.7414223232623184,360.0
K3-par,3,300,12,2,HA10-part,0.0021501739975064,par,3.0,227.964175677497,227.964175677497,False,True,0.0,1.0,0.9233333333333332,0.7789557472720643,360.0
K3-par,3,300,12,2,HA-tm,0.1895049519371241,par,3.0,227.964175677497,227.964175677497,False,True,0.0,1.0,0.9233333333333332,0.7789557472720643,360.0
K3-par,3,300,12,2,emEM10,0.0295646910089999,par,3.0,229.8647611016612,227.964175677497,False,False,0.008337210960958,0.9866666666666668,0.9166666666666666,0.7612887768625405,360.0
K3-cross,3,300,12,179,vote,0.3289262480102479,cross,9.0,254.23746398260735,251.59424552488008,False,False,0.010505878034742,0.9633333333333334,0.9033333333333332,0.7327751220277217,770.0
K3-cross,3,300,12,179,vote+pol,0.3292021071538329,cross,9.0,251.62890965064616,251.59424552488008,False,False,0.0001377778958886,0.9933333333333332,0.9,0.7246635101816779,770.0
K3-cross,3,300,12,179,param+pol,0.2775293511804193,cross,9.0,251.62890965064616,251.59424552488008,False,False,0.0001377778958886,0.9933333333333332,0.9,0.7246635101816779,770.0
K3-cross,3,300,12,179,bestB,0.2017381878104061,cross,9.0,253.32100334655152,251.59424552488008,False,False,0.0068632643726371,0.97,0.9,0.7247811007275975,770.0
K3-cross,3,300,12,179,bestB+pol,0.2019785977900028,cross,9.0,251.62890965064616,251.59424552488008,False,False,0.0001377778958886,0.9933333333333332,0.9,0.7246635101816779,770.0
K3-cross,3,300,12,179,local-vote+pol,0.1128496790770441,cross,9.0,428.6783186822349,251.59424552488008,False,False,0.7038478673783621,0.61,0.61,0.2985218944746228,770.0
K3-cross,3,300,12,179,ms-vote+pol,0.1914684588555246,cross,9.0,251.62890965064616,251.59424552488008,False,False,0.0001377778958886,0.9933333333333332,0.9,0.7246635101816779,770.0
K3-cross,3,300,12,179,HA10,0.0028149359859526,cross,9.0,251.59424552488008,251.59424552488008,False,True,0.0,1.0,0.9,0.7255957857958703,770.0
K3-cross,3,300,12,179,HA10-part,0.0014807591214776,cross,9.0,251.59424552488008,251.59424552488008,False,True,0.0,1.0,0.9,0.7255957857958703,770.0
K3-cross,3,300,12,179,HA-tm,0.3292582309804857,cross,9.0,251.59424552488008,251.59424552488008,False,True,0.0,1.0,0.9,0.7255957857958703,770.0
K3-cross,3,300,12,179,emEM10,0.0085867459420114,cross,9.0,253.24544756716352,251.59424552488008,False,False,0.0065629563141982,0.97,0.8966666666666666,0.7156808201815675,770.0
K2-par-p2,2,200,14,110,vote,0.113900092896074,par,3.0,167.51578533202138,159.16569257551066,False,False,0.0524616368100137,0.975,0.95,0.8090041032445116,374.0
K2-par-p2,2,200,14,110,vote+pol,0.1140689137391746,par,3.0,159.16569257551066,159.16569257551066,False,True,0.0,1.0,0.955,0.8272180898736863,374.0
K2-par-p2,2,200,14,110,param+pol,0.1192728199530392,par,3.0,159.42378992831266,159.16569257551066,False,False,0.0016215639728991,0.98,0.945,0.7910333966535159,374.0
K2-par-p2,2,200,14,110,bestB,0.1022730839904397,par,3.0,160.30624013785928,159.16569257551066,False,False,0.007165787701439,0.975,0.95,0.8090187517825254,374.0
K2-par-p2,2,200,14,110,bestB+pol,0.1024285079911351,par,3.0,159.74501414366495,159.16569257551066,False,False,0.0036397389335609,0.975,0.95,0.8090041032445116,374.0
K2-par-p2,2,200,14,110,local-vote+pol,0.057804079959169,par,3.0,159.40729545894982,159.16569257551066,False,False,0.001517933164677,0.98,0.965,0.8641860554401808,374.0
K2-par-p2,2,200,14,110,ms-vote+pol,0.101518623996526,par,3.0,159.16569257551066,159.16569257551066,False,True,0.0,1.0,0.955,0.8272180898736863,374.0
K2-par-p2,2,200,14,110,HA10,0.0015984131023287,par,3.0,159.34774896995168,159.16569257551066,False,False,0.0011438168081017,0.975,0.96,0.8455812297777004,374.0
K2-par-p2,2,200,14,110,HA10-part,0.0009792561177164,par,3.0,159.16569257551066,159.16569257551066,False,True,0.0,1.0,0.955,0.8272180898736863,374.0
K2-par-p2,2,200,14,110,HA-tm,0.1141416782047599,par,3.0,159.16569257551066,159.16569257551066,False,True,0.0,1.0,0.955,0.8272180898736863,374.0
K2-par-p2,2,200,14,110,emEM10,0.0083792230580002,par,3.0,234.26412089975528,159.16569257551066,False,False,0.4718254738760159,0.51,0.505,-0.0051010088121724,374.0
K2-cross-n100,2,100,8,158,vote,0.033616908127442,cross,9.0,81.1470136023888,80.96365911459537,True,False,0.0022646516943349,0.98,0.91,0.6691246144255645,142.0
K2-cross-n100,2,100,8,158,vote+pol,0.0337792001664638,cross,9.0,80.96365911459552,80.96365911459537,True,True,1.7763568394002505e-15,1.0,0.91,0.6691557209484521,142.0
K2-cross-n100,2,100,8,158,param+pol,0.0340239650104194,cross,9.0,80.96403910168698,80.96365911459537,True,False,4.693304326508496e-06,0.99,0.9,0.6364547952958964,142.0
K2-cross-n100,2,100,8,158,bestB,0.0289768499787896,cross,9.0,80.96403910168698,80.96365911459537,True,False,4.693304326508496e-06,0.99,0.9,0.6364547952958964,142.0
K2-cross-n100,2,100,8,158,bestB+pol,0.0291079671587795,cross,9.0,80.96403910168698,80.96365911459537,True,False,4.693304326508496e-06,0.99,0.9,0.6364547952958964,142.0
K2-cross-n100,2,100,8,158,local-vote+pol,0.0598250559996813,cross,9.0,80.96365911459552,80.96365911459537,True,True,1.7763568394002505e-15,1.0,0.91,0.6691557209484521,142.0
K2-cross-n100,2,100,8,158,ms-vote+pol,0.1146987748797983,cross,9.0,80.96403910168698,80.96365911459537,True,False,4.693304326508496e-06,0.99,0.9,0.6364547952958964,142.0
K2-cross-n100,2,100,8,158,HA10,0.0014964949805289,cross,9.0,80.96365911459552,80.96365911459537,True,True,1.7763568394002505e-15,1.0,0.91,0.6691557209484521,142.0
K2-cross-n100,2,100,8,158,HA10-part,0.000620984006673,cross,9.0,80.96365911459552,80.96365911459537,True,True,1.7763568394002505e-15,1.0,0.91,0.6691557209484521,142.0
K2-cross-n100,2,100,8,158,HA-tm,0.0338448698166757,cross,9.0,80.96365911459552,80.96365911459537,True,True,1.7763568394002505e-15,1.0,0.91,0.6691557209484521,142.0
K2-cross-n100,2,100,8,158,emEM10,0.0026198711711913,cross,9.0,81.90652673835024,80.96365911459537,True,False,0.0116455658509744,0.97,0.88,0.5734937529465501,142.0
