seed,method,agree_own_clean,agree_zhat_clean,ref_agree_zhat
0,HA50,0.5851851851851851,0.5851851851851851,1.0
0,emEM10,0.9407407407407408,0.7333333333333333,0.7933333333333333
0,vote,0.8888888888888888,0.9185185185185185,0.9133333333333333
0,median,0.9259259259259259,0.8666666666666667,0.94
0,adapt,1.0,0.8740740740740741,0.8666666666666667
0,TA-rw(0.25),1.0,0.8740740740740741,0.8666666666666667
0,TA50(a=0.05),0.5333333333333333,0.5407407407407407,0.9266666666666666
0,TA50(a=0.10),0.9037037037037037,0.9777777777777777,0.8733333333333333
0,TA50(a=0.25),0.9925925925925926,0.8666666666666667,0.8666666666666667
0,bestB-trim(a=0.10),0.9037037037037037,0.9777777777777777,0.8733333333333333
1,HA50,0.5925925925925926,0.5925925925925926,1.0
1,emEM10,0.9407407407407408,0.7185185185185186,0.7933333333333333
1,vote,0.9259259259259259,0.8740740740740741,0.9133333333333333
1,median,0.9259259259259259,0.8592592592592593,0.94
1,adapt,1.0,0.8666666666666667,0.8666666666666667
1,TA-rw(0.25),1.0,0.8666666666666667,0.8666666666666667
1,TA50(a=0.05),0.5111111111111111,0.5925925925925926,0.9266666666666666
1,TA50(a=0.10),0.8888888888888888,0.9777777777777777,0.8733333333333333
1,TA50(a=0.25),0.9925925925925926,0.8666666666666667,0.8666666666666667
1,bestB-trim(a=0.10),0.8888888888888888,0.9777777777777777,0.8733333333333333
2,HA50,0.6074074074074074,0.6074074074074074,1.0
2,emEM10,0.9481481481481482,0.7333333333333333,0.7933333333333333
2,vote,0.9481481481481482,0.8888888888888888,0.9133333333333333
2,median,0.8666666666666667,0.9259259259259259,0.94
2,adapt,0.9925925925925926,0.8592592592592593,0.8666666666666667
2,TA-rw(0.25),0.9925925925925926,0.8592592592592593,0.8666666666666667
2,TA50(a=0.05),0.5333333333333333,0.6074074074074074,0.9266666666666666
2,TA50(a=0.10),0.8444444444444444,0.9555555555555556,0.8733333333333333
2,TA50(a=0.25),0.9851851851851852,0.8666666666666667,0.8666666666666667
2,bestB-trim(a=0.10),0.8444444444444444,0.9555555555555556,0.8733333333333333
3,HA50,0.562962962962963,0.562962962962963,1.0
3,emEM10,0.9555555555555556,0.7481481481481481,0.7933333333333333
3,vote,0.9037037037037037,0.9703703703703703,0.9133333333333333
3,median,0.8666666666666667,0.8962962962962963,0.94
3,adapt,1.0,0.8592592592592593,0.8666666666666667
3,TA-rw(0.25),0.9851851851851852,0.8740740740740741,0.8666666666666667
3,TA50(a=0.05),0.562962962962963,0.6370370370370371,0.9266666666666666
3,TA50(a=0.10),0.8666666666666667,1.0,0.8733333333333333
3,TA50(a=0.25),0.9555555555555556,0.8962962962962963,0.8666666666666667
3,bestB-trim(a=0.10),0.8666666666666667,1.0,0.8733333333333333
4,HA50,0.562962962962963,0.562962962962963,1.0
4,emEM10,0.9407407407407408,0.7481481481481481,0.7933333333333333
4,vote,0.9407407407407408,0.9407407407407408,0.9133333333333333
4,median,0.8962962962962963,0.837037037037037,0.94
4,adapt,1.0,0.8666666666666667,0.8666666666666667
4,TA-rw(0.25),0.9925925925925926,0.8740740740740741,0.8666666666666667
4,TA50(a=0.05),0.5407407407407407,0.6222222222222222,0.9266666666666666
4,TA50(a=0.10),0.8962962962962963,0.9777777777777777,0.8733333333333333
4,TA50(a=0.25),0.9925925925925926,0.8666666666666667,0.8666666666666667
4,bestB-trim(a=0.10),0.8962962962962963,0.9777777777777777,0.8733333333333333
5,HA50,0.6370370370370371,0.6370370370370371,1.0
5,emEM10,0.9555555555555556,0.7703703703703704,0.7933333333333333
5,vote,0.8518518518518519,0.8962962962962963,0.9133333333333333
5,median,0.9555555555555556,0.8962962962962963,0.94
5,adapt,1.0,0.8666666666666667,0.8666666666666667
5,TA-rw(0.25),1.0,0.8666666666666667,0.8666666666666667
5,TA50(a=0.05),0.5703703703703704,0.6370370370370371,0.9266666666666666
5,TA50(a=0.10),0.8740740740740741,1.0,0.8733333333333333
5,TA50(a=0.25),0.9925925925925926,0.8592592592592593,0.8666666666666667
5,bestB-trim(a=0.10),0.8740740740740741,1.0,0.8733333333333333
6,HA50,0.5333333333333333,0.5333333333333333,1.0
6,emEM10,0.9481481481481482,0.7333333333333333,0.7933333333333333
6,vote,0.9333333333333333,0.8814814814814815,0.9133333333333333
6,median,0.9629629629629629,0.9703703703703703,0.94
6,adapt,1.0,0.8592592592592593,0.8666666666666667
6,TA-rw(0.25),1.0,0.8592592592592593,0.8666666666666667
6,TA50(a=0.05),0.5259259259259259,0.6074074074074074,0.9266666666666666
6,TA50(a=0.10),0.8888888888888888,0.9629629629629629,0.8733333333333333
6,TA50(a=0.25),0.9555555555555556,0.8888888888888888,0.8666666666666667
6,bestB-trim(a=0.10),0.8888888888888888,0.9629629629629629,0.8733333333333333
7,HA50,0.6148148148148148,0.6148148148148148,1.0
7,emEM10,0.9407407407407408,0.7407407407407407,0.7933333333333333
7,vote,0.9185185185185185,0.8740740740740741,0.9133333333333333
7,median,0.9185185185185185,0.8592592592592593,0.94
7,adapt,1.0,0.8592592592592593,0.8666666666666667
7,TA-rw(0.25),1.0,0.8592592592592593,0.8666666666666667
7,TA50(a=0.05),0.5407407407407407,0.6148148148148148,0.9266666666666666
7,TA50(a=0.10),0.8666666666666667,1.0,0.8733333333333333
7,TA50(a=0.25),0.9851851851851852,0.8592592592592593,0.8666666666666667
7,bestB-trim(a=0.10),0.8666666666666667,1.0,0.8733333333333333
8,HA50,0.6148148148148148,0.6148148148148148,1.0
