geom,m,solver,rep,n,B,F_hat,t_rep,draws_per_rep,p_zhat,p_basin,frac_Q_below_half,n_Q_below_half,min_Q,mean_Q,q10,vote_agree_zhat,vote_equals_zhat,vote_gap,votepol_equals_zhat,votepol_gap,plural_ne_zstar,zhat_ne_zstar,acc0_zhat,acc0_vote,acc0_bayes,auc_vote_share,auc_plugin,n_zhat_wrong,corr_Q_margin,n_margin_0.05,n_margin_0.1,n_margin_0.2,batch_var_ratio,batch_var_ratio_n
par,6,exact,19,200,2000,175.2945958098253,0.000352916389305,2.3005,0.001,0.2866666666666667,0.0,0,0.5005,0.7058250000000001,0.561,1.0,True,2.220446049250313e-15,True,2.220446049250313e-15,0.01,0.01,0.905,0.905,0.905,0.907822041291073,0.9345740040709508,19,0.7035110279307878,183,168,101,0.963351578473097,200
par,6,exact,20,200,2000,170.86557057389228,0.0003533777931031,2.388,0.0015,0.5733333333333334,0.01,2,0.495,0.7085250000000001,0.571,0.99,False,0.0073844743376931,True,2.220446049250313e-16,0.01,0.0,0.955,0.955,0.955,0.8944153577661431,0.9284467713787086,9,0.5891095238428674,185,171,103,1.026801675391278,199
par,6,exact,21,200,2000,161.56269769538312,0.0003590747591206,2.316,0.0015,0.0433333333333333,0.02,4,0.4615,0.72926,0.58345,0.98,False,0.0152738312497096,False,0.0005174287877658,0.04,0.03,0.95,0.95,0.94,0.8131578947368421,0.8184210526315789,10,0.5804513634446137,187,174,126,0.9452182068329628,198
par,6,exact,22,200,2000,149.14596939107645,0.0003603090754622,2.3775,0.0005,0.47,0.035,7,0.4635,0.7145125,0.5710000000000001,0.96,False,0.0250958924638202,True,6.661338147750939e-15,0.03,0.015,0.93,0.91,0.92,0.7636328725038403,0.8809523809523809,14,0.609118610209526,187,166,103,1.0738863188224728,200
par,6,exact,23,200,2000,150.31754335135673,0.0003576543678163,2.389,0.0045,0.6633333333333333,0.0,0,0.506,0.7177975,0.59685,1.0,True,4.440892098500626e-16,True,4.440892098500626e-16,0.01,0.01,0.945,0.945,0.945,0.789081289081289,0.9033189033189032,11,0.6507757372071405,192,177,104,0.9549204020884584,196
par,6,exact,24,200,2000,130.80898095478048,0.0003678363058468,2.264,0.008,0.2566666666666666,0.015,3,0.456,0.7282325000000001,0.5929500000000001,0.985,False,0.0064401451891846,False,0.0010155155392097,0.01,0.005,0.935,0.93,0.94,0.8231180584121761,0.895516248457425,13,0.6202321755785327,189,176,120,1.1277870206169192,198
par,6,exact,25,200,2000,145.8648920471532,0.000355584657671,2.316,0.0055,0.6866666666666666,0.01,2,0.4925,0.7294400000000002,0.57895,0.99,False,0.002715537219228,True,5.551115123125783e-15,0.01,0.01,0.925,0.935,0.935,0.8884684684684685,0.8926126126126126,15,0.7442297597833648,188,171,118,0.9931645784232894,199
par,6,exact,26,200,2000,161.83290008299872,0.0004455840239877,2.312,0.0,0.7033333333333334,0.01,2,0.4845,0.738205,0.6000000000000001,0.99,False,0.0058219965992731,True,-1.7763568394002505e-15,0.03,0.02,0.915,0.905,0.925,0.8259402121504339,0.9132111861137898,17,0.6806217863064169,189,180,125,1.0503770363431109,197
par,6,exact,27,200,2000,153.31950054681317,0.0003537411184406,2.2665,0.003,0.59,0.0,0,0.512,0.7319825,0.6127,1.0,True,-1.1102230246251563e-15,True,-1.1102230246251563e-15,0.01,0.01,0.95,0.95,0.95,0.8178947368421052,0.87,10,0.6020783112685671,189,184,125,1.018749305014523,199
par,6,exact,28,200,2000,140.43918632953856,0.0003471308550726,2.2775,0.011,0.3566666666666667,0.005,1,0.497,0.729295,0.5892000000000001,0.995,False,0.0011261891289486,False,0.0011261891289486,0.005,0.01,0.905,0.9,0.905,0.7311718522826403,0.8810700785111951,19,0.6352984464632079,191,177,117,1.0836064307634656,200
