geom,m,solver,rep,B,gamma,n_margin,p_miss_emp,union_binom,union_hoeff,p_miss_all_emp
par,6,local,0,5,0.05,172,1.0,1.0,1.0,1.0
par,6,local,0,5,0.1,135,0.975,1.0,1.0,1.0
par,6,local,0,5,0.2,65,0.6699999999999999,1.0,1.0,1.0
par,6,local,0,10,0.05,172,0.99,1.0,1.0,1.0
par,6,local,0,10,0.1,135,0.95,1.0,1.0,1.0
par,6,local,0,10,0.2,65,0.575,1.0,1.0,1.0
par,6,local,0,25,0.05,172,0.965,1.0,1.0,1.0
par,6,local,0,25,0.1,135,0.8049999999999999,1.0,1.0,1.0
par,6,local,0,25,0.2,65,0.17000000000000004,0.28169062636453934,1.0,1.0
par,6,local,0,50,0.05,172,0.9299999999999999,1.0,1.0,1.0
par,6,local,0,50,0.1,135,0.505,1.0,1.0,1.0
par,6,local,0,50,0.2,65,0.0050000000000000044,0.0181290006505796,0.24053897992022305,1.0
par,6,local,0,100,0.05,172,0.595,1.0,1.0,1.0
par,6,local,0,100,0.1,135,0.19499999999999995,0.3219223569281586,1.0,1.0
par,6,local,0,100,0.2,65,0.0,0.00011555900148580118,0.00286200643633904,1.0
par,6,local,0,200,0.05,172,0.29000000000000004,0.7979242993387086,1.0,1.0
par,6,local,0,200,0.1,135,0.020000000000000018,0.020592033146733336,0.19081166463294863,1.0
par,6,local,0,200,0.2,65,0.0,9.10322893415263e-09,6.332009168506566e-07,1.0
par,6,local,0,400,0.05,172,0.030000000000000027,0.11386181276890577,0.8154984150857563,0.995
par,6,local,0,400,0.1,135,0.0,0.000165518510992003,0.0021978103130587557,0.995
par,6,local,0,400,0.2,65,0.0,1.1075011783200387e-16,4.5269988548424843e-14,0.995
par,6,local,0,1000,0.05,172,0.0,0.001248473594033849,0.012381566108060372,1.0
par,6,local,0,1000,0.1,135,0.0,2.7378640209858584e-10,7.033074747507379e-09,1.0
par,6,local,0,1000,0.2,65,0.0,7.507170212250937e-40,3.5013375978786143e-35,1.0
par,6,local,1,5,0.05,182,0.995,1.0,1.0,1.0
