geom,m,solver,rep,n,B,F_hat,t_rep,draws_per_rep,p_zhat,p_basin,frac_Q_below_half,n_Q_below_half,min_Q,mean_Q,q10,vote_agree_zhat,vote_equals_zhat,vote_gap,votepol_equals_zhat,votepol_gap,plural_ne_zstar,zhat_ne_zstar,acc0_zhat,acc0_vote,acc0_bayes,auc_vote_share,auc_plugin,n_zhat_wrong,corr_Q_margin,n_margin_0.05,n_margin_0.1,n_margin_0.2,batch_var_ratio,batch_var_ratio_n
par,6,local,0,200,2000,183.85927109857013,0.000948021175911757,3.0665,0.0,0.16333333333333333,0.005,1,0.489,0.6594599999999999,0.53345,0.995,False,0.0016278191401637443,True,-2.4424906541753444e-15,0.015,0.01,0.93,0.935,0.93,0.8262288786482335,0.9500768049155146,14,0.5303692361014768,172,135,65,1.0097087701585756,200
par,6,local,1,200,2000,151.69077186786473,0.0009720319300346806,3.0665,0.0,0.5933333333333334,0.005,1,0.4975,0.6700375,0.5548500000000001,0.995,False,0.0006592306041519613,True,4.440892098500626e-16,0.005,0.0,0.895,0.9,0.895,0.8304070231444534,0.8693801542963554,21,0.5888257706026674,182,151,68,0.9178957596895766,200
par,6,local,2,200,2000,169.6365926440136,0.0009185119365318007,3.0145,0.0,0.49666666666666665,0.015,3,0.49,0.663725,0.54035,0.985,False,0.009308973069691584,True,7.327471962526033e-15,0.025,0.02,0.945,0.96,0.945,0.9389129389129389,0.9292929292929293,11,0.5585918330146616,174,133,69,0.9270761462877058,200
par,6,local,3,200,2000,191.7790015092088,0.0009018018325837713,2.9915,0.0005,0.3,0.03,6,0.481,0.645235,0.54335,0.97,False,0.029261178529174314,True,-3.3306690738754696e-16,0.035,0.035,0.94,0.94,0.945,0.8962765957446809,0.9485815602836879,12,0.5397801732150098,177,133,46,1.0301423743663207,199
par,6,local,4,200,2000,165.68715501404577,0.0008984869170418769,3.0025,0.0,0.35,0.02,4,0.478,0.6773275000000001,0.5548500000000001,0.98,False,0.0073009149113369975,False,0.00023973812643185433,0.02,0.0,0.92,0.92,0.92,0.7873641304347826,0.8845108695652174,16,0.5835586456506021,182,144,86,0.9867640494675757,200
par,6,local,5,200,2000,166.15534709664018,0.0008972031869063897,3.0185,0.001,0.35,0.005,1,0.4775,0.66483,0.54135,0.995,False,0.001984996707126152,True,6.8833827526759706e-15,0.035,0.03,0.94,0.935,0.95,0.7384751773049646,0.9055851063829787,12,0.5881309603866929,170,136,68,1.2021290888476361,200
par,6,local,6,200,2000,177.9698534961749,0.000919691939530146,3.0075,0.0005,0.2633333333333333,0.015,3,0.4665,0.6521625,0.5364,0.985,False,0.013169818492126506,False,0.0008892218943514774,0.035,0.02,0.94,0.945,0.94,0.713209219858156,0.8909574468085106,12,0.4664767947765771,169,128,56,1.0976327179134697,200
par,6,local,7,200,2000,141.76301545038564,0.0009203238570711758,3.057,0.0025,0.47333333333333333,0.01,2,0.4835,0.6526599999999999,0.5155,0.99,False,0.00506843306930671,True,7.549516567451064e-15,0.015,0.015,0.955,0.955,0.96,0.7990110529377545,0.9168121000581734,9,0.5585960309927421,144,117,68,1.0787265724948083,200
par,6,local,8,200,2000,165.7363365175304,0.0008883599510246304,2.975,0.0,0.33,0.04,8,0.454,0.6758025000000001,0.5353,0.96,False,0.06450991384981264,False,0.0022618342521996126,0.025,0.035,0.95,0.92,0.935,0.8415789473684211,0.8984210526315789,10,0.584715909590488,171,147,72,1.0507376086559714,200
par,6,local,9,200,2000,164.4281045222076,0.0009014127436280231,3.038,0.0005,0.29,0.02,4,0.482,0.6617675,0.5437000000000001,0.98,False,0.012376440131644184,False,0.001316512612922205,0.035,0.015,0.9,0.89,0.905,0.76875,0.9094444444444445,20,0.6445867850947452,174,142,64,1.0649612886496413,200
par,6,local,10,200,2000,189.47549954139728,0.0009024436856571842,3.044,0.001,0.24666666666666667,0.01,2,0.481,0.644955,0.54995,0.99,False,0.003520437313321967,True,8.43769498715119e-15,0.02,0.01,0.935,0.925,0.925,0.718634306869601,0.8416289592760181,13,0.4092571168280778,180,128,46,0.9449387661949133,200
par,6,local,11,200,2000,205.61350092888324,0.0008851699740130309,2.982,0.0015,0.31333333333333335,0.03,6,0.4695,0.6601124999999999,0.54245,0.97,False,0.031769581463990226,True,4.6629367034256575e-15,0.04,0.01,0.915,0.925,0.905,0.8227258116361299,0.9215686274509803,17,0.556410970289433,172,142,61,1.0694012328915619,200
par,6,local,12,200,2000,151.00059924385562,0.0009180981474266741,3.019,0.0,0.023333333333333334,0.56,112,0.298,0.4988225,0.3835,0.56,False,0.8604955711693243,False,0.8499038225832889,0.46,0.98,0.95,0.53,0.94,0.4768421052631579,0.9052631578947369,10,-0.03165737526116145,68,36,0,0.9075266479372186,200
par,6,local,13,200,2000,148.97524955721082,0.0009085116216892779,3.04,0.002,0.23333333333333334,0.0,0,0.502,0.66873,0.5459,1.0,True,-3.3306690738754696e-16,True,-3.3306690738754696e-16,0.03,0.03,0.93,0.93,0.92,0.7572964669738863,0.8083717357910907,14,0.6111884861379848,179,137,67,1.0185062594191192,200
par,6,local,14,200,2000,180.6468673039119,0.0009107657516241984,3.0175,0.0,0.25,0.035,7,0.4725,0.65621,0.52575,0.965,False,0.050188057892360805,True,5.995204332975845e-15,0.05,0.045,0.895,0.89,0.94,0.7701516360734237,0.8895982974195265,21,0.5682335855422903,167,129,59,0.9882187693196334,199
par,6,local,15,200,2000,174.81055856875295,0.0009106113218391572,2.959,0.0005,0.14666666666666667,0.085,17,0.433,0.6617025000000001,0.5149,0.915,False,0.05301990219408581,False,0.003157964037731942,0.06,0.035,0.915,0.93,0.95,0.9366763098682096,0.9360334297653488,17,0.5677964658587851,165,131,73,1.0969559717090651,200
par,6,local,16,200,2000,147.53273706778324,0.000987492221889031,3.1065,0.0015,0.18,0.02,4,0.4785,0.669085,0.54135,0.98,False,0.03395347913498492,True,-2.1094237467877974e-15,0.015,0.015,0.95,0.96,0.955,0.8589473684210527,0.9105263157894737,10,0.4968995998776692,176,136,68,1.114562413044329,200
par,6,local,17,200,2000,148.15798259372346,0.0009017721514241678,3.02,0.0005,0.13666666666666666,0.065,13,0.442,0.6667750000000001,0.5263,0.935,False,0.06701812135205354,False,0.0002528744448697662,0.075,0.02,0.925,0.89,0.93,0.6832432432432433,0.8533333333333334,15,0.5816233378779994,170,136,78,1.0057162812060243,200
par,6,local,18,200,2000,153.0385782515531,0.0008964907946029325,2.99,0.0,0.25,0.025,5,0.4905,0.6718425,0.5373,0.975,False,0.023180810336442814,True,1.7763568394002505e-15,0.025,0.03,0.895,0.89,0.905,0.8068635275339185,0.9010375099760575,21,0.46910501334139465,171,148,72,1.1094851393295615,200
par,6,local,19,200,2000,175.2945958098253,0.0009390834767613563,3.117,0.0005,0.24,0.01,2,0.496,0.6437074999999999,0.5352,0.99,False,0.010029215014621062,False,3.1454608992564914e-05,0.02,0.01,0.905,0.915,0.905,0.8877580692061646,0.9345740040709508,19,0.5311802264303943,171,122,52,0.9865626214101095,200
par,6,local,20,200,2000,170.86557057389228,0.0009379367301349241,3.0845,0.0015,0.49,0.005,1,0.4865,0.6631175,0.54545,0.995,False,0.007153840751059182,True,2.220446049250313e-16,0.005,0.0,0.955,0.95,0.955,0.8432228039557883,0.9284467713787086,9,0.5189815243465087,176,130,72,0.9291951152505782,200
par,6,local,21,200,2000,161.56269769538312,0.0009458683463266737,3.0355,0.0015,0.03,0.06,12,0.434,0.6594075,0.51085,0.94,False,0.27104011204068557,True,3.1086244689504383e-15,0.07,0.03,0.95,0.92,0.94,0.7628947368421053,0.8184210526315789,10,0.34282963917938153,153,127,81,1.0604309816377577,200
