data,n,m,seed,method,F,Fhat,hit,gap,agree_zhat,time,R_tm
tone,150,12,0,vote,0.9032873096485314,0.9028887332018307,False,0.0004414458083747963,0.9666666666666667,0.12991352199998119,565
tone,150,12,0,vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.14775751299998774,565
tone,150,12,0,param+pol,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.09912263800003984,565
tone,150,12,0,bestB+pol,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.08518804599998475,565
tone,150,12,0,local-vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.13749377200002755,565
tone,150,12,0,ms-vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.22600072799997406,565
tone,150,12,0,HA10,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.001409256999977515,565
tone,150,12,0,HA-tm,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.1479059029999803,565
tone,150,12,0,emEM10,0.9807478191013281,0.9028887332018307,False,0.08623331207533513,0.7933333333333333,0.020464618999994855,565
tone,150,12,1,vote,0.9062645019017115,0.9028887332018307,False,0.0037388534995996814,0.9,0.09992345899996735,430
tone,150,12,1,vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.10005198800001835,430
tone,150,12,1,param+pol,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.09651777100003756,430
tone,150,12,1,bestB+pol,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.0835027230000378,430
tone,150,12,1,local-vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.10702558700000964,430
tone,150,12,1,ms-vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.20189685499997267,430
tone,150,12,1,HA10,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.0012445739999975558,430
tone,150,12,1,HA-tm,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.10012199400000554,430
tone,150,12,1,emEM10,0.9807478191013281,0.9028887332018307,False,0.08623331207533513,0.7933333333333333,0.003043497000021489,430
tone,150,12,2,vote,0.9049251994151337,0.9028887332018307,False,0.002255500748227668,0.94,0.09109367999997176,394
tone,150,12,2,vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.09125853899996628,394
tone,150,12,2,param+pol,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.0867162570000346,394
tone,150,12,2,bestB+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.08032327899996972,394
tone,150,12,2,local-vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.10524460800002089,394
tone,150,12,2,ms-vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.19499535400001378,394
tone,150,12,2,HA10,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.0012369810000336656,394
tone,150,12,2,HA-tm,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.09154468299999508,394
tone,150,12,2,emEM10,0.9807478191013281,0.9028887332018307,False,0.08623331207533513,0.7933333333333333,0.003668799999957173,394
tone,150,12,3,vote,0.903139713804471,0.9028887332018307,False,0.000277975118539997,0.9733333333333334,0.08586026699998683,372
tone,150,12,3,vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.08595617100002073,372
tone,150,12,3,param+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.0959759209999902,372
tone,150,12,3,bestB+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.0787024300000212,372
tone,150,12,3,local-vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.09692456099998026,372
tone,150,12,3,ms-vote+pol,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.1956708320000189,372
tone,150,12,3,HA10,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.0012854679999918517,372
tone,150,12,3,HA-tm,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.08598815900001,372
tone,150,12,3,emEM10,0.9807478191013281,0.9028887332018307,False,0.08623331207533513,0.7933333333333333,0.0029956379999589444,372
tone,150,12,4,vote,0.909779184156303,0.9028887332018307,False,0.007631561565772715,0.9066666666666666,0.08828092200002402,388
tone,150,12,4,vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.08838724599996794,388
tone,150,12,4,param+pol,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.08722277300000769,388
tone,150,12,4,bestB+pol,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.0794908640000358,388
tone,150,12,4,local-vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.1012836909999919,388
tone,150,12,4,ms-vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.19483620299996574,388
tone,150,12,4,HA10,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.0012162959999955092,388
tone,150,12,4,HA-tm,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.0884430350000116,388
tone,150,12,4,emEM10,0.9807478191013281,0.9028887332018307,False,0.08623331207533513,0.7933333333333333,0.003156724000007216,388
tone,150,12,5,vote,0.9078870806219914,0.9028887332018307,False,0.0055359505954133414,0.9,0.08783914800000048,366
tone,150,12,5,vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.08794112399999676,366
tone,150,12,5,param+pol,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.08761078100002351,366
tone,150,12,5,bestB+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.07840627600000971,366
tone,150,12,5,local-vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.10416067399995654,366
tone,150,12,5,ms-vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.19767447299994956,366
tone,150,12,5,HA10,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.0012237930000082997,366
tone,150,12,5,HA-tm,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.08814963500003614,366
tone,150,12,5,emEM10,0.9807478191013281,0.9028887332018307,False,0.08623331207533513,0.7933333333333333,0.003126440000016828,366
tone,150,12,6,vote,0.905321848599332,0.9028887332018307,False,0.0026948120050993563,0.9333333333333333,0.10611420700001872,392
tone,150,12,6,vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.10627556499997581,392
tone,150,12,6,param+pol,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.09840189099998042,392
tone,150,12,6,bestB+pol,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.08918467399996644,392
tone,150,12,6,local-vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.11458813999996664,392
tone,150,12,6,ms-vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.2293864069999927,392
tone,150,12,6,HA10,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.0014241360000255554,392
tone,150,12,6,HA-tm,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.10639934900001435,392
tone,150,12,6,emEM10,0.9807478191013281,0.9028887332018307,False,0.08623331207533513,0.7933333333333333,0.0029886439999700087,392
tone,150,12,7,vote,0.9065423695219117,0.9028887332018307,False,0.004046607500709953,0.92,0.09553469799999448,399
tone,150,12,7,vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.09565108999998984,399
tone,150,12,7,param+pol,0.9028887332021149,0.9028887332018307,True,3.148592497836944e-13,1.0,0.08946672400003308,399
tone,150,12,7,bestB+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.08346386699997765,399
tone,150,12,7,local-vote+pol,0.9029465225909501,0.9028887332018307,False,6.400499529379822e-05,0.9866666666666667,0.10220297600000094,399
