part,cell,K,n,eps,m,rep,method,n_out,acc_clean,ari_clean,perr,alpha_hat,time,p_clean_sub
a,K2-cross,2,300,0.0,8,63,TA-rw(0.40),0,0.8966666666666666,0.6281385535841159,0.1139051703882962,0.01,0.0478026128839701,1.0
a,K2-cross,2,300,0.0,8,63,bestB-trim(0.25),0,0.8966666666666666,0.6281356134598103,0.3330033509531538,,0.0242889239452779,1.0
a,K2-cross-unequal,2,300,0.05,10,82,HA50,11,0.6643598615916955,-0.0056998348831073,11.13463268219908,,0.0108056059107184,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,82,emEM10,11,0.916955017301038,0.6853365575838117,0.5047829027774138,,0.0236948130186647,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,82,vote,11,0.9134948096885812,0.6772319586050072,0.9176338270191916,,0.0900693421717733,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,82,median,11,0.8996539792387543,0.6335044993928164,0.9089142844034952,,0.0318058209959417,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,82,adapt,11,0.8996539792387543,0.6338947147826018,0.081657808124783,0.05,0.0354456801433116,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,82,adapt-sel,11,0.8996539792387543,0.6338947147826018,0.0777502558903292,0.05,0.0346784067805856,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,82,adapt-lam0,11,0.8996539792387543,0.6338947147826018,0.0839466461507396,0.05,0.0330850279424339,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,82,adapt-1st,11,0.8996539792387543,0.6338947147826018,0.081657808124783,0.05,0.0269040260463953,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,82,TA-rw(oracle),11,0.8996539792387543,0.6338947147826018,0.081657808124783,0.05,0.0358398919925093,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,82,TA-rw(0.25),11,0.8996539792387543,0.6338947147826018,0.081657808124783,0.05,0.0360211411025375,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,82,TA-rw(0.40),11,0.532871972318339,0.0012984186766471,3.000893683431984,0.25,0.0370740639045834,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,82,bestB-trim(0.25),11,0.8996539792387543,0.6338947147826018,0.3515136298869005,,0.0269702509976923,0.5987369392383787
a,K2-cross-leverage,2,300,0.3,8,1,HA50,88,0.5518867924528302,0.0060768750829658,2.3361547221271266,,0.0107501950114965,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,1,emEM10,88,0.5471698113207547,0.004433733023429,2.780746167369603,,0.0198369899298995,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,1,vote,88,0.5471698113207547,0.0042090504632115,2.282945231660993,,0.0378794150892645,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,1,median,88,0.5518867924528302,0.0060724243886177,2.5244595586377767,,0.0376896089874208,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,1,adapt,88,0.5518867924528302,0.0060768750829658,2.3361547221271266,0.0,0.046830000821501,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,1,adapt-sel,88,0.5471698113207547,0.0041965651251545,2.3528772881861584,0.0,0.0472650029696524,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,1,adapt-lam0,88,0.5660377358490566,0.0127757726686778,2.4295317696797243,0.0033333333333333,0.0454232178162783,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,1,adapt-1st,88,0.5566037735849056,0.0081275800925323,2.39034880667014,0.0033333333333333,0.0337648969143629,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,1,TA-rw(oracle),88,0.5471698113207547,0.0042090504632115,2.2931891334456527,0.0,0.0492017609067261,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,1,TA-rw(0.25),88,0.5424528301886793,0.0025357359881193,2.9145129953425206,0.0066666666666666,0.0491103120148181,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,1,TA-rw(0.40),88,0.9386792452830188,0.7686641883469267,0.1531786211818612,0.2933333333333333,0.0498427299316972,0.0576480099999999
a,K2-cross-leverage,2,300,0.3,8,1,bestB-trim(0.25),88,0.5613207547169812,0.0103611440147314,1.6879642983314198,,0.0247439790982753,0.0576480099999999
a,K2-cross,2,300,0.05,8,31,HA50,16,0.5774647887323944,0.0184970123785017,16.379630756946547,,0.0109105960000306,0.6634204312890623
a,K2-cross,2,300,0.05,8,31,emEM10,16,0.5422535211267606,0.0,9.559166583114475,,0.0080330688506364,0.6634204312890623
a,K2-cross,2,300,0.05,8,31,vote,16,0.676056338028169,0.1205015970558115,6.381910081170642,,0.0417974139563739,0.6634204312890623
a,K2-cross,2,300,0.05,8,31,median,16,0.9119718309859156,0.6777511499106882,0.5520146559631562,,0.0408736020326614,0.6634204312890623
a,K2-cross,2,300,0.05,8,31,adapt,16,0.9225352112676056,0.7131357426610998,0.0801738667356593,0.07,0.0470187959726899,0.6634204312890623
a,K2-cross,2,300,0.05,8,31,adapt-sel,16,0.9225352112676056,0.7131357426610998,0.0801738667356593,0.0666666666666666,0.0461057859938591,0.6634204312890623
a,K2-cross,2,300,0.05,8,31,adapt-lam0,16,0.9190140845070424,0.7012417224577392,0.0708439733176142,0.0666666666666666,0.0468408172018826,0.6634204312890623
a,K2-cross,2,300,0.05,8,31,adapt-1st,16,0.9225352112676056,0.7131357426610998,0.0801738667356593,0.0666666666666666,0.038278445135802,0.6634204312890623
